username,Sum_Tweets,Sum_Followers
04_8_1437,49,71
06230550_IS,66,1205
1515Ummah,95,214
1Dawlah_III,100,632
432Mryam,68,169
ALK___226,42,193
Abdul__05,5,43
AbdusMujahid149,40,44
AbuLaythAlHindi,14,235
AbuMusab_110,97,944
AbuNaseeha_03,89,1016
Abu_Azzzam25,119,212
Abu_Ibn_Taha,23,137
Afriqqiya_252,14,71
Al_Battar_Engl,100,117
Alwala_bara,100,411
AsimAbuMerjem,235,11795
Bajwa47online,100,427
BaqiyaIs,100,25
Baqiyah_Khilafa,97,191
Battar_English,100,137
BilalIbnRabah1,45,218
CXaafada2,134,2522
DabiqsweetsMan,17,89
DawlaWitness11,68,207
Dieinurage308,17,172
EPlC24,96,771
FidaeeFulaani,129,1161
Fidaee_Fulaani,297,1160
Freedom_speech2,97,3233
GunsandCoffee70,31,1263
IbnKashmir_,231,454
Jazrawi_Joulan,60,402
Jazrawi_Saraqib,100,955
JohnsonsBot,25,507
JoinISNation102,53,873
MaghrabiArabi,366,3532
MaghrebiHD,97,1468
MaghrebiQ,25,320
MaghrebiQM,158,2783
MaghrebiWM,99,974
ManKhalfahum,25,451
MhzBnt,72,192
MilkSheikh2,200,2368
Mosul_05,7,27
Mountainjjoool,86,427
NaseemAhmed50,333,23633
Nidalgazaui,397,17824
QassamiMarwan,99,1593
RamiAlLolah,1475,511394
Suspend_Me_fags,49,38
Uncle_SamCoco,1580,25118
WarReporter1,1095,20225
WhiteCat_7,104,1014
Witness_alHaqq,108,2077
YazeedDhardaa25,62,1727
_IshfaqAhmad,709,12002
___KU217_y,31,129
__alfresco__,289,1630
``````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````,1,842
abdlrhmn15,101,47
abuayisha102,5,104
abuayisha108,25,195
abubakerdimshqi,100,231
abuhanzalah10,17,128
abuhumayra4,152,1602
abutariq040,93,322
abutariq041,47,136
al_nusra,101,663
al_zaishan10,99,24
alamreeki4,96,74
almuhajirun9,13,1927
ansarakhilafa,35,3288
baaqiya_01,14,56
bintraveller,10,83
btt_ar,178,325
c0n0fj1had4_,23,131
darulhijrateyni,34,472
dieinurage29__7,14,105
emran_getu,43,146
fahadslay614,4,49
freelance_112,69,852
grezz10,45,21
ismailmahsud,318,3126
kIakishini5,28,352
k_kid04,55,56
klakishinki,100,1791
ks48a174031,7,69
lNSlDEWAR,146,3386
maisaraghereeb,97,197
melvynlion,348,272
mobi_ayubi,1056,12714
moustiklash,99,842
murasil1,182,544
mustafaklash56,29,340
mustaklash,19,327
newerajihadi61,4,16
nvor85j,100,238
pleaoftheummah,190,280
ro34th,285,4270
safiyaimback,159,176
saifulakhir,100,35
sonofshishan,42,416
squadsquaaaaad,58,57
st3erer,92,986
thefIamesofhaqq,96,318
war_analysis,94,89
warreporter2,193,530
warrnews,1191,116840
wayf44rerr,405,5085
wayff44rer,15,268
wayyf44rer,64,469
